"License Number","License Type","Legal Business Name","Type of License","Date","Expires On","Status","City - County",
"TML18-0015236","Temporary Cannabis Cultivation License","cache creek cannabis","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0011822","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0011810","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015232","Temporary Cannabis Cultivation License","cache creek cannabis","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0011670","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015228","Temporary Cannabis Cultivation License","cashe creek cultivators","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0011643","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0011377","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015220","Temporary Cannabis Cultivation License","cashe creek cultivators","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0011367","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015195","Temporary Cannabis Cultivation License","cache creek cannabis","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0010834","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TAL18-0015161","Temporary Cannabis Cultivation License","1041 Wall Street Inc.","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0010816","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0010810","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015160","Temporary Cannabis Cultivation License","cache creek cannabis","Specialty Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0010704","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TAL18-0015049","Temporary Cannabis Cultivation License","1041 Wall Street Inc.","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0010639","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015034","Temporary Cannabis Cultivation License","Regal Green Remedies, Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","California City - Kern County",
"TML18-0015005","Temporary Cannabis Cultivation License","Regal Green Remedies, Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","California City - Kern County",
"TAL18-0013975","Temporary Cannabis Cultivation License","Green Wave Inc","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TML18-0014956","Temporary Cannabis Cultivation License","Regal Green Remedies, Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","California City - Kern County",
"TML18-0017547","Temporary Cannabis Cultivation License","Yolo 2, LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Woodland - Yolo County",
"TML18-0017546","Temporary Cannabis Cultivation License","Yolo 2, LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Woodland - Yolo County",
"TML18-0017545","Temporary Cannabis Cultivation License","Yolo 2, LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Woodland - Yolo County",
"TML18-0017544","Temporary Cannabis Cultivation License","Yolo 2, LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Woodland - Yolo County",
"TAL18-0014939","Temporary Cannabis Cultivation License","That Good Good Farm","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TML18-0017543","Temporary Cannabis Cultivation License","Yolo 2, LLC","Specialty Outdoor","12/31/2018","04/30/2019","Active","Woodland - Yolo County",
"TML18-0014895","Temporary Cannabis Cultivation License","Regal Green Remedies, Inc.","Specialty Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","California City - Kern County",
"TML18-0017516","Temporary Cannabis Cultivation License","Live Oak Meadows","Small Mixed-Light Tier 1","12/31/2018","07/29/2019","Active","Unincorporated - Humboldt County",
"TML18-0014822","Temporary Cannabis Cultivation License","Regal Green Remedies, Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","California City - Kern County",
"TAL18-0017493","Temporary Cannabis Cultivation License","SS Cultivation Inc","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","California City - Kern County",
"TML18-0014742","Temporary Cannabis Cultivation License","Regal Green Remedies, Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","California City - Kern County",
"TAL18-0007969","Temporary Cannabis Cultivation License","Eubanks Farms LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Eureka - Humboldt County",
"TAL18-0014658","Temporary Cannabis Cultivation License","Kokua Farm","Specialty Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0014395","Temporary Cannabis Cultivation License","Lina Farm,LLC","Medium Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0014220","Temporary Cannabis Cultivation License","Mohammad Bhaimia","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0017414","Temporary Cannabis Cultivation License","Canyon Organics, INC","Nursery","12/31/2018","04/30/2019","Active","Santa Barbara County",
"TML18-0017412","Temporary Cannabis Cultivation License","Canyon Organics, INC","Processor","12/31/2018","04/30/2019","Active","Santa Barbara County",
"TAL18-0014129","Temporary Cannabis Cultivation License","TP 350","Nursery","12/31/2018","04/30/2019","Active","Richmond - Contra Costa County",
"TML18-0017409","Temporary Cannabis Cultivation License","Canyon Organics, INC","Small Outdoor","12/31/2018","04/30/2019","Active","Santa Barbara County",
"TML18-0017407","Temporary Cannabis Cultivation License","Canyon Organics, INC","Small Outdoor","12/31/2018","04/30/2019","Active","Santa Barbara County",
"TAL18-0014122","Temporary Cannabis Cultivation License","The Little Cottage Caregivers, LLC","Specialty Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0017405","Temporary Cannabis Cultivation License","Canyon Organics, INC","Small Outdoor","12/31/2018","04/30/2019","Active","Santa Barbara County",
"TML18-0014111","Temporary Cannabis Cultivation License","Mohammad Bhaimia","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0017403","Temporary Cannabis Cultivation License","Canyon Organics, INC","Small Outdoor","12/31/2018","04/30/2019","Active","Santa Barbara County",
"TAL18-0013675","Temporary Cannabis Cultivation License","Green Wave Farms","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TML18-0017144","Temporary Cannabis Cultivation License","Muskrat Consultants","Specialty Indoor","12/31/2018","04/30/2019","Active","Adelanto - San Bernardino County",
"TAL18-0013506","Temporary Cannabis Cultivation License","California Grown","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TML18-0017082","Temporary Cannabis Cultivation License","Three Creeks Holdings","Small Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0013466","Temporary Cannabis Cultivation License","California Grown","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TML18-0017081","Temporary Cannabis Cultivation License","Three Creeks Holdings","Medium Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0013455","Temporary Cannabis Cultivation License","California Grown","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TML18-0013442","Temporary Cannabis Cultivation License","mystic garden","Specialty Outdoor","12/31/2018","04/30/2019","Active","Willits - Mendocino County",
"TAL18-0013438","Temporary Cannabis Cultivation License","California Grown","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TML18-0017050","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0017049","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0017047","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0017044","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0017043","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016982","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016981","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016966","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0013434","Temporary Cannabis Cultivation License","TP 350","Medium Indoor","12/31/2018","04/30/2019","Active","Richmond - Contra Costa County",
"TML18-0016953","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0013372","Temporary Cannabis Cultivation License","Integrous Choice LLC","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Oakland - Alameda County",
"TML18-0016950","Temporary Cannabis Cultivation License","CaliDutch Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Unincorporated - San Mateo County",
"TAL18-0013359","Temporary Cannabis Cultivation License","Maia Tech, LLC","Medium Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0016948","Temporary Cannabis Cultivation License","CaliDutch Inc.","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Unincorporated - San Mateo County",
"TML18-0016924","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0013348","Temporary Cannabis Cultivation License","Integrous Choice LLC","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Oakland - Alameda County",
"TAL18-0013198","Temporary Cannabis Cultivation License","Hayvenhealth, LLC","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0013141","Temporary Cannabis Cultivation License","Signal Management LLC","Specialty Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0009847","Temporary Cannabis Cultivation License","guru ventures company","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Desert Hot Springs - Riverside County",
"TAL18-0013127","Temporary Cannabis Cultivation License","Pen Palz, Inc.","Medium Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0009846","Temporary Cannabis Cultivation License","guru ventures company","Specialty Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Desert Hot Springs - Riverside County",
"TAL18-0009845","Temporary Cannabis Cultivation License","guru ventures company","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Desert Hot Springs - Riverside County",
"TML18-0012888","Temporary Cannabis Cultivation License","Probioteck","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0012872","Temporary Cannabis Cultivation License","Probioteck","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0009844","Temporary Cannabis Cultivation License","Guru Ventures Company","Nursery","12/31/2018","04/30/2019","Active","Desert Hot Springs - Riverside County",
"TAL18-0012766","Temporary Cannabis Cultivation License","Spring Valley Patients Group, Inc","Small Indoor","12/31/2018","04/30/2019","Active","Oakland - Alameda County",
"TAL18-0012685","Temporary Cannabis Cultivation License","Mary J's Kitchen, Inc","Specialty Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0009843","Temporary Cannabis Cultivation License","Guru Ventures Company","Processor","12/31/2018","04/30/2019","Active","Desert Hot Springs - Riverside County",
"TML18-0012427","Temporary Cannabis Cultivation License","Eco Green Grow, LLC","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0009841","Temporary Cannabis Cultivation License","Herbal Point Group","Specialty Indoor","12/31/2018","04/30/2019","Active","Long Beach - Los Angeles County",
"TML18-0012649","Temporary Cannabis Cultivation License","Eco Green Grow, LLC","Specialty Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0012448","Temporary Cannabis Cultivation License","Mendocanna Company","Nursery","12/31/2018","04/30/2019","Active","Ukiah - Mendocino County",
"TAL18-0012323","Temporary Cannabis Cultivation License","Coachella Herb Plantation","Specialty Indoor","12/31/2018","04/30/2019","Active","Coachella - Riverside County",
"TML18-0009510","Temporary Cannabis Cultivation License","Kings Peak, LLC","Specialty Mixed-Light Tier 1","12/31/2018","07/29/2019","Active","Unincorporated - Humboldt County",
"TML18-0009432","Temporary Cannabis Cultivation License","Plantonics","Small Indoor","12/31/2018","04/30/2019","Active","Long Beach - Los Angeles County",
"TAL18-0012280","Temporary Cannabis Cultivation License","Mendocanna Company","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Ukiah - Mendocino County",
"TML18-0012274","Temporary Cannabis Cultivation License","Eco Green Grow, LLC","Medium Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0009239","Temporary Cannabis Cultivation License","Krishan Knoles","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TAL18-0012201","Temporary Cannabis Cultivation License","Morning Dew Farms LLC","Specialty Indoor","12/31/2018","04/30/2019","Active","San Francisco - San Francisco County",
"TAL18-0009225","Temporary Cannabis Cultivation License","CaliDutch Inc.","Medium Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Unincorporated - San Mateo County",
"TAL18-0012161","Temporary Cannabis Cultivation License","Perris Grow, LLC","Specialty Indoor","12/31/2018","04/30/2019","Active","Perris - Riverside County",
"TML18-0012114","Temporary Cannabis Cultivation License","HD Biotech, Inc.","Nursery","12/31/2018","04/30/2019","Active","Adelanto - San Bernardino County",
"TAL18-0011941","Temporary Cannabis Cultivation License","ERBSF","Specialty Indoor","12/31/2018","04/30/2019","Active","San Francisco - San Francisco County",
"TAL18-0011930","Temporary Cannabis Cultivation License","New Eden Farms","Medium Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Arroyo Grande - San Luis Obispo County",
"TAL18-0011862","Temporary Cannabis Cultivation License","Serob Papazyan","Specialty Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0011811","Temporary Cannabis Cultivation License","Emerald Triangle Cultivators","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Trinity County",
"TAL18-0011789","Temporary Cannabis Cultivation License","Fields Group Inc.","Medium Indoor","12/31/2018","04/30/2019","Active","Sacramento - Sacramento County",
"TML18-0011603","Temporary Cannabis Cultivation License","Heavenly Cure Inc","Specialty Indoor","12/31/2018","04/30/2019","Active","Long Beach - Los Angeles County",
"TML18-0011334","Temporary Cannabis Cultivation License","Castle Rock Canna-Farm","Specialty Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TAL18-0011236","Temporary Cannabis Cultivation License","SugarLeaf Holdings, LLC","Small Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Fortuna - Humboldt County",
"TAL18-0011052","Temporary Cannabis Cultivation License","Mcdonell Family Enterprises","Medium Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TML18-0011044","Temporary Cannabis Cultivation License","Treme La-Fitte, Inc.","Specialty Indoor","12/31/2018","04/30/2019","Active","La Mesa - San Diego County",
"TML18-0008914","Temporary Cannabis Cultivation License","Clark Family Farms, LLC","Specialty Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0008852","Temporary Cannabis Cultivation License","Simone River","Specialty Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TAL18-0008850","Temporary Cannabis Cultivation License","CannConn Enterprises","Specialty Outdoor","12/31/2018","04/30/2019","Active","Santa Cruz - Santa Cruz County",
